MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2020,Acura,ILX,Compact,2.4,4,AM8,Z,9.9,7,8.6,33,199
2020,Acura,MDX SH-AWD,SUV: Small,3.5,6,AS9,Z,12.3,9.2,10.9,26,254
2020,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.5,6,AS9,Z,12.2,9.5,11,26,258
2020,Acura,MDX Hybrid AWD,SUV: Small,3,6,AM7,Z,9.1,9,9,31,210
2020,Acura,RDX AWD,SUV: Small,2,4,AS10,Z,11,8.6,9.9,29,232
2020,Acura,RDX AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,27,241
2020,Acura,RLX Hybrid,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
2020,Acura,TLX A-SPEC,Compact,2.4,4,AM8,Z,10.2,7.4,8.9,32,209
2020,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,11.4,7.7,9.8,29,228
2020,Acura,TLX SH-AWD A-SPEC/Limited Edition,Compact,3.5,6,AS9,Z,12,8.2,10.3,27,240
2020,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197
2020,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,32,205
2020,Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,9.2,31,217
2020,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271
2020,Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,30,218
2020,Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,29,226
